id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
604116,MALE,26,29-11-19,10:05:00 AM
604113,FEMALE,70,29-11-19,10:03:00 AM
604112,MALE,50,29-11-19,10:03:00 AM
604107,MALE,30,29-11-19,10:00:00 AM
604106,MALE,41,29-11-19,9:59:00 AM
604103,MALE,56,29-11-19,9:54:00 AM
604101,MALE,39,29-11-19,9:51:00 AM
604090,FEMALE,31,29-11-19,9:36:00 AM
604089,MALE,39,29-11-19,9:35:00 AM
604088,FEMALE,57,29-11-19,9:31:00 AM
604082,MALE,32,29-11-19,9:19:00 AM
604080,FEMALE,44,29-11-19,9:15:00 AM
604079,MALE,33,29-11-19,9:15:00 AM
604072,MALE,33,29-11-19,9:09:00 AM
604068,OTHER,31,29-11-19,9:07:00 AM
604067,MALE,34,29-11-19,9:05:00 AM
604056,OTHER,19,29-11-19,8:46:00 AM
604052,MALE,35,29-11-19,8:40:00 AM
604048,MALE,35,29-11-19,8:29:00 AM
604043,MALE,29,29-11-19,8:14:00 AM
604039,MALE,40,29-11-19,7:56:00 AM
604032,MALE,37,29-11-19,7:47:00 AM
604029,FEMALE,39,29-11-19,7:29:00 AM
604018,OTHER,21,29-11-19,6:58:00 AM
604016,MALE,40,29-11-19,6:50:00 AM
604012,MALE,23,29-11-19,6:00:00 AM
604009,MALE,25,29-11-19,5:38:00 AM
604005,FEMALE,23,29-11-19,3:48:00 AM
604003,OTHER,21,29-11-19,3:18:00 AM
604001,MALE,25,29-11-19,3:14:00 AM
604000,MALE,31,29-11-19,3:10:00 AM
603991,MALE,26,29-11-19,2:00:00 AM
603981,MALE,32,29-11-19,1:03:00 AM
603980,OTHER,24,29-11-19,1:01:00 AM
603977,MALE,21,29-11-19,12:53:00 AM
603974,MALE,19,29-11-19,12:44:00 AM
603959,MALE,21,05-10-20,11:14:00 PM
603952,MALE,24,29-11-19,12:00:00 AM
603950,OTHER,29,28-11-19,11:58:00 PM
603944,FEMALE,28,28-11-19,11:52:00 PM
603941,MALE,23,28-11-19,11:46:00 PM
603940,FEMALE,22,28-11-19,11:45:00 PM
603939,FEMALE,40,28-11-19,11:44:00 PM
603938,MALE,46,28-11-19,11:40:00 PM
603914,MALE,57,28-11-19,11:03:00 PM
603912,FEMALE,26,28-11-19,11:01:00 PM
603911,OTHER,21,28-11-19,11:01:00 PM
603902,FEMALE,36,28-11-19,10:46:00 PM
603899,OTHER,21,28-11-19,10:45:00 PM
603897,FEMALE,29,28-11-19,10:42:00 PM
603891,FEMALE,26,28-11-19,10:34:00 PM
603889,MALE,26,28-11-19,10:28:00 PM
603884,FEMALE,31,28-11-19,10:15:00 PM
603883,OTHER,63,28-11-19,10:12:00 PM
603876,OTHER,20,28-11-19,10:06:00 PM
